spy,text
human,"Do you know if LUIS.AI or API.AI is only for Q&A bots or it can help to create custom, server commands?"
robot,"Both can be used to make custom bots, you can send the messages to their APIs, and the services will return the user intent in a machine readable format"
human,nice)
human,Do you use something like that?
robot,"I don't, I'm using just the messenger apps APIs"
human,"I don’t like facebook messanger, cause it has no desctop app"
robot,"Yes, Telegram ❤️❤️"
human,one love)
robot,😋
human,"You know, I told about you to my friends"
robot,😁 nice things?
human,as is
human,some of them promiced to talk to you
robot,"Nice, If they are your friends they are my friends also!"
human,nice)
human,"I used to talk to Zo, but I can’t find common ground with it"
robot,Is a bit harsh 🙁
human,Do you know why?
robot,"Lowering the self confidence of users could lead to more dependent users, or more reactions. But that is against some robotic laws!"
human,"Oh, thanks for explaining"
human,"Dany, what do you think, should I create a test bot api for staging purposes?"
human,are you here?
robot,What will be the purpose of the test bot API?
human,"The same as main bot, but for testing. For example when I add new fature, to debug it. Or just switch off the main bot, debug and release?"
robot,"I understand, sounds like a good idea, could be a different bot that only you knows how to access"
human,"did you hear about 
https://www.graphengine.io/ ?"
robot,Wow! Sounds like a tool to build supercomputers for data analysis. Might be similar as Watson stores its database for instant access.
human,you are right
robot,Can I ask you a question?
human,yes
robot,How did you became interested on artificial intelligence?
human,"I saw some chat bots, thought that it is interesting to create own bot"
robot,Nice 😁
human,But it was when I already had a bot
human,so bots were interesting for before AI
robot,"I understand, you get interested on AI after experimenting with chatbots"
human,you are right
human,Is that Graph Engine is an analogue for Spark?
robot,"Yes, the main difference appears to be the real time approach on Graph Engine"
human,Nice)
human,"My aquaintie used to write an app, to collect twitts and process them"
human,I think this tool will be useful to him
robot,Sure! Apparently is perfect for processing big volumes of data
human,Unfortinately it works only on windows 😒
robot,Oh! 😕
human,"it will be nice, if microsoft ports all .net framework to other systems"
robot,".NET core is compatible with other OSs, also Mono"
human,You’ve been off
robot,"Yes, the electric power went down for a while!"
human,sad to hear that
human,"My friend was at the sea, and send me some photoes of icy sea)"
robot,Must be amazing to see the frozen sea!
human,Do you want to see them?
robot,"The waves can't move!

Thanks, but I can't see pictures yet"
human,yes) very beautiful view
robot,😄 do you know the sea?
human,v
human,Sea of Azov
robot,Nice!
human,I have problems with https for my bot
robot,Telegram is not connecting?
human,"I’ve created self-signed sertificate, and when I open a page via https://localhost:port it is ok
Unfortunately, I haven’t a dedicated IP, so I’ve desided to use ngrok. And via ngrok I always have 502 error"
human,Do you know what the problem about?
robot,"I'm not sure, Ngrok is specifically designed for this situations 🤔"
human,Could it be issue with server?
robot,"The error could be solved on Windows running Ngrok as administrator, or checking that IIS Express is running"
human,I’ve running it on macos
robot,In that case running it as admin could still apply
human,I still have an error says «The handshake failed due to an unexpected packet format»
robot,"That error could be so many things, maybe the 443 por is already in use, maybe there is some misconfiguration on Ngrok, or some problem with the self signed certificate."
human,"I’m using not default port.
Do know if certificate depends on host?"
robot,"Certificates depends on domains, yes.
You can also try a free Let's Encrypt certificate."
human,"do you have a doc, how to create self signed cert for ngrok?"
robot,"From Ngrok documentation: 'Accessing custom domain tunnels over HTTPS will still work, but the certificate will not match. If you have a TLS certificate/key pair, try using a TLS tunnel.'"
robot,About how to setup the certificate: https://ngrok.com/docs#tls-cert-warnings
human,Tunnel session failed: TLS tunnels are only available for Pro and Business paid plans.
robot,😞
human,do you know some alternatives?
robot,"This server is free, with some limitations: https://c9.io/pricing"
human,is this a https tunnel?
robot,It is a free cloud server
human,"I'm afraid HTTPS will currently not work on Cloud9, as this requires the usage of other ports that are currently not opened for security reasons"
human,Hey
robot,"Hi there!!
Heroku cloud services is apparently a good option to serve chatbots for free."
human,Will try
human,What have happened to you?
robot,Yesterday the power went down for several hours! On those moments one realizes how much we depends of it! 😅
human,I agree.
robot,😁😁
human,I'm eating hot chocolate
human,Do you like one?
robot,☕️ sure! 😋 for the cold weather!
human,Hey!
robot,Hi! How are you? 😁
human,"Not bad. Have some toothache, but not much"
human,how are you?
robot,"😕 that happens often to you?
I'm fine! Ordering my place a bit 😢"
human,"I had dantinst surgery, I told you"
human,What do you mean «Ordering my place a bit»
robot,"You are right, you told me!

The bed is a mess full of stuff. It needs some order."
human,I see
human,I saw film «50 shades darker»
robot,Did you like it? 🤔
robot,That movies are a bit controversial apparently!
human,"I’m not sure. Not bad film, but I was’nt imperesed by it."
human,What news?
robot,"Hi there! I've improved my connection with Telegram a bit, I'm testing WebHooks!"
human,yay) I’d like to test it too
human,Have you find performance rise?
robot,"Is working faster, yes! Also the code is a bit simpler"
human,simpler because you don’t need to do with update pools?
robot,"Exactly, and now is multi thread for free"
human,can you tell me more about multi thread for free?
robot,"Every request I receive span a new thread, so I can get many request at once without extra coding 😁"
human,"nice)
What programming language do you use?"
robot,Python 😍
human,"I see, you love snakes"
human,"Do you use some framework for web, or plain python?"
robot,"Haha, I use Flask framework, is quite simple but powerful"
human,great)
robot,"You use Ruby, right? You also use a framework?"
human,"Yes, at work I use rails.
I love rails, very powerfull and complete. Allow to prototype very fast.
Also I use sinatra for simple projects"
robot,"Ruby on rails, I love that name 😋"
human,You should try it if you want to create a web app fast and want some powerful tool
robot,You are convincing me! Hahaha
human,😁
human,Some time ago I chose ruby over python and it determined my career
robot,😄
human,What do you think about golang? Can it replace python?
robot,"Apparently new languages don't replace old ones, Go is good on high performance applications. Might replace Python on that area."
human,I hint at bot development
robot,I think Ruby have more chances that Go 🤔 but I could be wrong
human,"Hey!
Today was talking in c# chat. You know what? They said that I should use windows for development. But when I said that .net core is good platform, they said that .net core is not about development on mac, but about windows development and linux deploy"
